Campaign,Ad group,Keyword,Match type,Max CPC,Final URL,Headline 1,Headline 2,Description
"WE - Invoice Generator","free invoice generator pdf","free invoice generator pdf",Phrase,0.45,"https://wealth-engine-0qlj.onrender.com/go/invoice.html?utm_source=google&utm_campaign=invoice","Free Invoice PDF","No Signup · $3 Pro","Preview free. Pro PDF $3. Code LAUNCH25 saves 25%."
"WE - Invoice Generator","invoice generator no signup","invoice generator no signup",Phrase,0.45,"https://wealth-engine-0qlj.onrender.com/go/invoice.html?utm_source=google&utm_campaign=invoice","Invoice — No Signup","PDF in 30 Seconds","Instant preview. Watermark-free export $3. Secure Stripe."
"WE - Invoice Generator","freelancer invoice template","freelancer invoice template",Phrase,0.45,"https://wealth-engine-0qlj.onrender.com/go/invoice.html?utm_source=google&utm_campaign=invoice","Freelancer Invoice","Print-Ready PDF $3","Made for contractors. One-time $3 or $29/mo unlimited."
"WE - Invoice Generator","make invoice pdf online","make invoice pdf online",Phrase,0.45,"https://wealth-engine-0qlj.onrender.com/go/invoice.html?utm_source=google&utm_campaign=invoice","Make Invoice PDF","Try Free First","Online invoice maker. Pro export from $3. LAUNCH25 at checkout."
"WE - Lease Analyzer","lease red flags checklist","lease red flags checklist",Phrase,0.45,"https://wealth-engine-0qlj.onrender.com/go/lease.html?utm_source=google&utm_campaign=lease","Lease Red Flags","Free Risk Score","Paste lease, get instant flags. Full report $7. Not legal advice."
"WE - Lease Analyzer","rental lease analyzer","rental lease analyzer",Phrase,0.45,"https://wealth-engine-0qlj.onrender.com/go/lease.html?utm_source=google&utm_campaign=lease","Rental Lease Analyzer","Instant Preview","Rule-based lease scan. Unlock full report for $7."
"WE - Lease Analyzer","tenant lease review tool","tenant lease review tool",Phrase,0.45,"https://wealth-engine-0qlj.onrender.com/go/lease.html?utm_source=google&utm_campaign=lease","Tenant Lease Review","Know Before You Sign","Free preview + paid full analysis. Secure checkout."
"WE - Uptime Monitor","cheap uptime monitor","cheap uptime monitor",Phrase,0.45,"https://wealth-engine-0qlj.onrender.com/go/uptime.html?utm_source=google&utm_campaign=uptime","Cheap Uptime Monitor","From $5/mo","Email alerts when site goes down. 5 monitors included."
"WE - Uptime Monitor","website down alert email","website down alert email",Phrase,0.45,"https://wealth-engine-0qlj.onrender.com/go/uptime.html?utm_source=google&utm_campaign=uptime","Site Down Alerts","Email in 5 Min","Simple monitoring. No complex setup. Cancel anytime."
"WE - Uptime Monitor","simple uptime monitoring","simple uptime monitoring",Phrase,0.45,"https://wealth-engine-0qlj.onrender.com/go/uptime.html?utm_source=google&utm_campaign=uptime","Simple Uptime Tool","5 Monitors $5/mo","Know before customers do. Self-serve Stripe billing."
"WE - NDA Generator","free nda generator","free nda generator",Phrase,0.45,"https://wealth-engine-0qlj.onrender.com/go/nda.html?utm_source=google&utm_campaign=nda","Free NDA Generator","PDF $4","Preview free. Clean PDF export. No subscription."
"WE - NDA Generator","mutual nda template","mutual nda template",Phrase,0.45,"https://wealth-engine-0qlj.onrender.com/go/nda.html?utm_source=google&utm_campaign=nda","Mutual NDA Template","Instant PDF","Freelancers & startups. Code LAUNCH25 saves 25%."
"WE - PipeKit API","uuid api generator","uuid api generator",Phrase,0.45,"https://wealth-engine-0qlj.onrender.com/go/pipekit.html?utm_source=google&utm_campaign=pipekit","UUID API Generator","Free Tier + $9/mo","Self-serve API keys. Hash, base64, JSON tools included."
"WE - PipeKit API","developer api utilities","developer api utilities",Phrase,0.45,"https://wealth-engine-0qlj.onrender.com/go/pipekit.html?utm_source=google&utm_campaign=pipekit","Dev API Utilities","No Postman Bloat","100 free req/day. Pro from $9/mo. Instant Stripe checkout."
"WE - Freelancer Stack","freelancer invoice contract bundle","freelancer invoice contract bundle",Phrase,0.45,"https://wealth-engine-0qlj.onrender.com/go/freelancer.html?utm_source=google&utm_campaign=stack","Freelancer Stack","$29/mo Unlimited","Invoice + templates + NDA. LAUNCH25 saves 25%."
"WE - Freelancer Stack","freelancer business tools bundle","freelancer business tools bundle",Phrase,0.45,"https://wealth-engine-0qlj.onrender.com/go/freelancer.html?utm_source=google&utm_campaign=stack","Revenue Stack $49","One-Time Bundle","Replace 3 subscriptions. Instant Stripe checkout."
"WE - HookRelay DLQ","webhook dead letter queue","webhook dead letter queue",Phrase,0.45,"https://wealth-engine-0qlj.onrender.com/go/hookrelay-dlq.html?utm_source=google&utm_campaign=hookrelay-dlq","Webhook DLQ Pro","$29/mo","Retry, dead-letter alerts, replay. Indie SaaS pricing."
"WE - HookRelay DLQ","stripe webhook retry service","stripe webhook retry service",Phrase,0.45,"https://wealth-engine-0qlj.onrender.com/go/hookrelay-dlq.html?utm_source=google&utm_campaign=hookrelay-dlq","Stripe Webhook Retry","25K Events/mo","Production-grade relay. LAUNCH25 at checkout."
"WE - BillSnap Pro Unlimited","contractor invoice template pdf","contractor invoice template pdf",Phrase,0.45,"https://wealth-engine-0qlj.onrender.com/go/billsnap-pro.html?utm_source=google&utm_campaign=billsnap-pro","Contractor Invoice PDF","$29/mo Unlimited","1099-friendly invoices. No signup. LAUNCH25 saves 25%."
"WE - BillSnap Pro Unlimited","consultant invoice template free","consultant invoice template free",Phrase,0.45,"https://wealth-engine-0qlj.onrender.com/go/billsnap-pro.html?utm_source=google&utm_campaign=billsnap-pro","Consultant Invoice","BillSnap Pro $29/mo","Unlimited exports for weekly billers. Preview free."
"WE - BillSnap Pro Unlimited","freelancer invoice app unlimited","freelancer invoice app unlimited",Phrase,0.45,"https://wealth-engine-0qlj.onrender.com/go/billsnap-pro.html?utm_source=google&utm_campaign=billsnap-pro","Freelancer Invoice App","Unlimited $29/mo","Beat QuickBooks pricing. Instant PDF, no account."